Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","1995","1995","tonnes","1110292","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","1996","1996","tonnes","1199617","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","1997","1997","tonnes","1335282","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","1998","1998","tonnes","1509419","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","1999","1999","tonnes","1671894","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2000","2000","tonnes","1878601","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2001","2001","tonnes","1931818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2002","2002","tonnes","2022942","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2003","2003","tonnes","1975807","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2004","2004","tonnes","2245379","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2005","2005","tonnes","2185815","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2006","2006","tonnes","1959434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2007","2007","tonnes","1944882","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2008","2008","tonnes","1666894","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2009","2009","tonnes","1703290","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2010","2010","tonnes","1600153","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2011","2011","tonnes","1475326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2012","2012","tonnes","1553398","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2013","2013","tonnes","1618988","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2014","2014","tonnes","2011004","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2015","2015","tonnes","2282642","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","2077","Total Meat","2016","2016","tonnes","2118198","A","Aggregate, may include official, semi-official, estimated or calculated data"
